6707, 0.00, 0.00, 0.00, 0.00, 0.00  |  0.00, 0.00, 0.00, 0.00, 0.00
Kp = 3E-7
Ki = 1E-11
Setting left:  30
2700.00
11550, 0.00, 2700.00, 2700.00, 56929924.00, 17.08  |  0.00, 0.00, 0.00, 0.00, 0.00
11653, 0.00, 2700.00, 2700.00, 58153024.00, 17.44  |  0.00, 0.00, 0.00, 0.00, 0.00
11756, 0.00, 2700.00, 2700.00, 59389624.00, 17.81  |  0.00, 0.00, 0.00, 0.00, 0.00
11859, 0.00, 2700.00, 2700.00, 60626224.00, 18.19  |  0.00, 0.00, 0.00, 0.00, 0.00
11963, 0.00, 2700.00, 2700.00, 61862824.00, 18.56  |  0.00, 0.00, 0.00, 0.00, 0.00
12066, 0.00, 2700.00, 2700.00, 63099424.00, 18.93  |  0.00, 0.00, 0.00, 0.00, 0.00
12169, 0.00, 2700.00, 2700.00, 64322524.00, 19.30  |  0.00, 0.00, 0.00, 0.00, 0.00
12272, 0.00, 2700.00, 2700.00, 65559124.00, 19.67  |  0.00, 0.00, 0.00, 0.00, 0.00
12375, 0.00, 2700.00, 2700.00, 66784924.00, 20.03  |  0.00, 0.00, 0.00, 0.00, 0.00
12478, 0.00, 2700.00, 2700.00, 68017472.00, 20.40  |  0.00, 0.00, 0.00, 0.00, 0.00
12581, 0.00, 2700.00, 2700.00, 69250496.00, 20.77  |  0.00, 0.00, 0.00, 0.00, 0.00
12684, 0.00, 2700.00, 2700.00, 70470000.00, 21.14  |  0.00, 0.00, 0.00, 0.00, 0.00
12787, 0.00, 2700.00, 2700.00, 71703024.00, 21.51  |  0.00, 0.00, 0.00, 0.00, 0.00
12890, 0.00, 2700.00, 2700.00, 72925232.00, 21.88  |  0.00, 0.00, 0.00, 0.00, 0.00
12993, 40.72, 2700.00, 2659.28, 74123088.00, 22.24  |  0.00, 0.00, 0.00, 0.00, 0.00
13096, 40.72, 2700.00, 2659.28, 75320944.00, 22.59  |  0.00, 0.00, 0.00, 0.00, 0.00
13200, 40.72, 2700.00, 2659.28, 76518800.00, 22.95  |  0.00, 0.00, 0.00, 0.00, 0.00
13303, 312.82, 2700.00, 2387.18, 77612016.00, 23.28  |  0.00, 0.00, 0.00, 0.00, 0.00
13406, 693.08, 2700.00, 2006.92, 78606240.00, 23.58  |  7.48, 0.00, 0.00, 0.00, 0.00
13509, 1232.01, 2700.00, 1467.99, 79359728.00, 23.81  |  7.48, 0.00, 0.00, 0.00, 0.00
13612, 1294.53, 2700.00, 1405.47, 79991680.00, 24.00  |  7.48, 0.00, 0.00, 0.00, 0.00
13715, 1653.22, 2700.00, 1046.78, 80555096.00, 24.17  |  367.85, 0.00, 0.00, 0.00, 0.00
13818, 1500.15, 2700.00, 1199.85, 81071584.00, 24.32  |  367.85, 0.00, 0.00, 0.00, 0.00
13921, 2058.12, 2700.00, 641.88, 81291344.00, 24.39  |  540.99, 0.00, 0.00, 0.00, 0.00
14024, 2552.84, 2700.00, 147.16, 81419040.00, 24.43  |  778.96, 0.00, 0.00, 0.00, 0.00
14127, 2854.86, 2700.00, -154.86, 81459040.00, 24.44  |  762.45, 0.00, 0.00, 0.00, 0.00
14230, 3337.78, 2700.00, -637.78, 81322032.00, 24.40  |  1034.43, 0.00, 0.00, 0.00, 0.00
14333, 3219.57, 2700.00, -519.57, 81142312.00, 24.34  |  1046.51, 0.00, 0.00, 0.00, 0.00
14437, 3181.88, 2700.00, -481.88, 80871112.00, 24.26  |  1030.08, 0.00, 0.00, 0.00, 0.00
14540, 3332.44, 2700.00, -632.44, 80641104.00, 24.19  |  983.83, 0.00, 0.00, 0.00, 0.00
14643, 3642.72, 2700.00, -942.72, 80319720.00, 24.10  |  1149.11, 0.00, 0.00, 0.00, 0.00
14746, 3634.78, 2700.00, -934.78, 79944024.00, 23.98  |  1144.58, 0.00, 0.00, 0.00, 0.00
14849, 3539.57, 2700.00, -839.57, 79528424.00, 23.86  |  1203.49, 0.00, 0.00, 0.00, 0.00
14952, 3373.82, 2700.00, -673.82, 79154552.00, 23.75  |  1003.29, 0.00, 0.00, 0.00, 0.00
15055, 3720.79, 2700.00, -1020.79, 78753704.00, 23.63  |  1140.15, 0.00, 0.00, 0.00, 0.00
15158, 3718.02, 2700.00, -1018.02, 78335248.00, 23.50  |  1129.94, 0.00, 0.00, 0.00, 0.00
